#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         447     1.09312     1.31206   0.0162863
         448     1.09402     1.31157   0.0162573
         449     1.09498     1.31109   0.0162282
         450     1.09599     1.31061   0.0161992
         451     1.09705     1.31014   0.0161702
         452     1.09817     1.30967   0.0161412
         453     1.09933     1.30921   0.0161123
         454     1.10055     1.30875   0.0160833
         455     1.10182     1.30829   0.0160544
         456     1.10313     1.30784   0.0160255
         457      1.1045      1.3074   0.0159966
         458     1.10591     1.30696   0.0159677
         459     1.10736     1.30652   0.0159389
         460     1.10886     1.30609     0.01591
         461     1.11039     1.30567   0.0158811
         462     1.11197     1.30525   0.0158523
         463     1.11358     1.30484   0.0158235
         464     1.11522     1.30443   0.0157946
         465      1.1169     1.30402   0.0157658
         466      1.1186     1.30363    0.015737
         467     1.12033     1.30323   0.0157082
         468     1.12209     1.30285   0.0156794
         469     1.12386     1.30246   0.0156506
         470     1.12564     1.30209   0.0156218
         471     1.12744     1.30172   0.0155931
         472     1.12925     1.30135   0.0155643
         473     1.13107     1.30099   0.0155356
         474     1.13288     1.30064   0.0155069
         475      1.1347     1.30029   0.0154781
         476     1.13651     1.29994   0.0154494
         477     1.13832     1.29961   0.0154208
         478     1.14011     1.29927   0.0153921
         479      1.1419     1.29894   0.0153635
         480     1.14366     1.29862   0.0153349
         481     1.14541      1.2983   0.0153063
         482     1.14714     1.29799   0.0152778
         483     1.14884     1.29768   0.0152493
         484     1.15052     1.29737   0.0152208
         485     1.15216     1.29708   0.0151924
         486     1.15378     1.29678    0.015164
         487     1.15537     1.29649   0.0151356
         488     1.15691      1.2962   0.0151073
         489     1.15843     1.29592    0.015079
         490      1.1599     1.29564   0.0150508
         491     1.16133     1.29537   0.0150226
         492     1.16272      1.2951   0.0149945
         493     1.16407     1.29484   0.0149665
         494     1.16538     1.29457   0.0149385
         495     1.16664     1.29432   0.0149105
         496     1.16786     1.29406   0.0148826
         497     1.16903     1.29381   0.0148548
         498     1.17015     1.29356   0.0148271
         499     1.17123     1.29332   0.0147994
         500     1.17226     1.29307   0.0147717
         501     1.17325     1.29283   0.0147442
         502     1.17419      1.2926   0.0147167
         503     1.17509     1.29236   0.0146893
         504     1.17594     1.29213    0.014662
         505     1.17675      1.2919   0.0146347
         506     1.17751     1.29168   0.0146076
         507     1.17823     1.29145   0.0145805
         508     1.17891     1.29123   0.0145534
         509     1.17954     1.29101   0.0145265
