#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         396     2.26443    0.279034    0.132996
         397     2.26752    0.284043    0.132755
         398      2.2701    0.289033    0.132515
         399     2.27385    0.294007    0.132276
         400     2.27733    0.298966    0.132039
         401     2.28052    0.303907    0.131802
         402     2.28318    0.308831    0.131566
         403     2.28602    0.313737    0.131331
         404     2.28904    0.318626    0.131097
         405     2.29199    0.323499    0.130864
         406     2.29485    0.328355    0.130631
         407     2.29836    0.333195      0.1304
         408     2.30105    0.338018     0.13017
         409     2.30388    0.342824     0.12994
         410     2.30637    0.347614    0.129711
         411     2.30875    0.352385    0.129483
         412     2.31102    0.357139    0.129256
         413     2.31317    0.361875     0.12903
         414     2.31544    0.366594    0.128805
         415     2.31711    0.371294     0.12858
         416     2.31864    0.375975    0.128356
         417     2.32076    0.380639    0.128133
         418     2.32249    0.385285    0.127911
         419     2.32408    0.389912    0.127689
         420     2.32552     0.39452    0.127468
         421     2.32705    0.399111    0.127248
         422     2.32794    0.403681    0.127029
         423     2.32867    0.408232     0.12681
         424     2.32923    0.412763    0.126592
         425     2.32937    0.417273    0.126374
         426     2.32958    0.421762    0.126157
         427     2.32962     0.42623    0.125941
         428     2.32922    0.430676    0.125725
         429     2.32888    0.435101     0.12551
         430      2.3281    0.439503    0.125295
         431     2.32832    0.443885    0.125081
         432     2.32714    0.448245    0.124867
         433     2.32574    0.452581    0.124654
         434     2.32413    0.456893    0.124442
         435     2.32254    0.461182    0.124229
         436     2.32121    0.465448    0.124018
         437     2.31917     0.46969    0.123806
         438     2.31714    0.473908    0.123596
         439     2.31487    0.478101    0.123385
         440     2.31235     0.48227    0.123175
         441     2.30984    0.486414    0.122966
         442     2.30635    0.490532    0.122756
         443     2.30261    0.494622    0.122547
         444      2.2991    0.498686    0.122339
         445     2.29509    0.502723     0.12213
         446     2.29107    0.506733    0.121922
         447     2.28631    0.510714    0.121715
         448     2.28177    0.514667    0.121507
         449      2.2765    0.518591      0.1213
         450      2.2712    0.522486    0.121093
         451     2.26566    0.526351    0.120886
         452     2.25986    0.530186    0.120679
         453     2.25333     0.53399    0.120473
         454      2.2468    0.537763    0.120266
         455     2.24076    0.541506     0.12006
         456     2.23424    0.545218    0.119854
         457     2.22726    0.548898    0.119649
         458      2.2203    0.552548    0.119443
         459     2.21266    0.556165    0.119238
         460     2.20506    0.559749    0.119032
         461     2.19799    0.563303    0.118827
         462     2.19051    0.566825    0.118622
         463     2.18189    0.570313    0.118417
         464     2.17337    0.573768    0.118212
         465     2.16471    0.577189    0.118008
         466      2.1564    0.580578    0.117803
         467     2.14726    0.583933    0.117599
         468     2.13826    0.587254    0.117394
         469     2.12918    0.590542     0.11719
         470     2.12003    0.593796    0.116986
         471     2.11083    0.597017    0.116782
         472     2.10208    0.600206    0.116578
         473     2.09306    0.603362    0.116374
         474     2.08404    0.606486     0.11617
         475     2.07455    0.609576    0.115967
         476      2.0658    0.612636    0.115764
         477     2.05684    0.615663    0.115561
         478     2.04794     0.61866    0.115358
         479     2.03935    0.621626    0.115155
         480      2.0306    0.624561    0.114952
         481     2.02193    0.627466     0.11475
         482     2.01289     0.63034    0.114548
         483     2.00421    0.633185    0.114346
         484     1.99589       0.636    0.114145
         485     1.98747    0.638787    0.113943
         486      1.9792    0.641545    0.113742
         487     1.97108    0.644275    0.113541
         488     1.96289    0.646977    0.113341
         489     1.95487    0.649652    0.113141
         490     1.94776    0.652301    0.112941
         491      1.9401    0.654924    0.112741
         492     1.93288    0.657521    0.112542
         493     1.92586    0.660094    0.112343
         494        1.92    0.662644    0.112145
         495     1.91338    0.665171    0.111947
         496      1.9072    0.667675    0.111749
         497     1.90172    0.670158    0.111552
         498     1.89597     0.67262    0.111355
         499     1.89018     0.67506    0.111158
         500     1.88581    0.677481    0.110962
         501     1.88069    0.679883    0.110767
         502     1.87578    0.682265    0.110572
         503     1.87083    0.684628    0.110377
         504     1.86585    0.686972    0.110183
