#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         319    -6.79193    -6.67678  0.00803198
         320    -6.75826    -6.67703  0.00801091
         321    -6.69221    -6.67708   0.0079861
         322    -6.77443    -6.67738  0.00796701
         323     -6.7524    -6.67762  0.00794573
         324    -6.77522    -6.67792  0.00792692
         325    -6.79659    -6.67828  0.00791093
         326    -6.87479    -6.67889   0.0079096
         327    -6.91516    -6.67961  0.00791834
         328    -6.84347    -6.68011  0.00790995
         329    -6.85327    -6.68063   0.0079034
         330    -6.85892    -6.68117  0.00789789
         331    -6.87435    -6.68176  0.00789556
         332    -6.82101    -6.68218  0.00788291
         333    -6.86747    -6.68273  0.00787885
         334    -6.84723    -6.68323  0.00787064
         335    -6.92218    -6.68394   0.0078794
         336    -6.91161    -6.68462  0.00788503
         337    -6.82115    -6.68502  0.00787204
         338    -6.74364     -6.6852  0.00785066
         339    -6.81095    -6.68557  0.00783626
         340     -6.8058    -6.68592  0.00782119
         341    -6.82608    -6.68633  0.00780904
         342    -6.86555    -6.68686  0.00780377
         343    -6.81834    -6.68724  0.00779043
         344    -6.86418    -6.68775  0.00778474
         345    -6.81996    -6.68814  0.00777161
         346    -6.85521    -6.68862  0.00776413
         347     -6.8297    -6.68903   0.0077524
         348    -6.84672    -6.68948  0.00774335
         349    -6.71805    -6.68956   0.0077216
         350    -6.77231     -6.6898  0.00770315
         351    -6.67721    -6.68976  0.00768129
         352    -6.66986     -6.6897  0.00765968
         353    -6.72577    -6.68981  0.00763866
         354     -6.7791    -6.69006  0.00762124
         355    -6.64276    -6.68993  0.00760094
         356    -6.66105    -6.68984  0.00758002
         357    -6.74876    -6.69001  0.00756059
         358    -6.74182    -6.69015  0.00754085
         359     -6.8045    -6.69047  0.00752657
         360    -6.86893    -6.69097  0.00752197
         361    -6.90305    -6.69156  0.00752404
         362     -6.8548    -6.69201  0.00751676
         363    -6.83853    -6.69241  0.00750688
         364    -6.82736    -6.69278  0.00749541
         365    -6.81276    -6.69311  0.00748208
         366    -6.85253    -6.69355   0.0074743
         367    -6.79215    -6.69381  0.00745876
         368    -6.74839    -6.69396  0.00743997
         369    -6.71442    -6.69402  0.00742001
         370    -6.79732     -6.6943  0.00740521
         371    -6.75933    -6.69447  0.00738732
         372    -6.76472    -6.69466  0.00736988
         373       -6.68    -6.69462  0.00735023
         374    -6.63865    -6.69447   0.0073321
         375    -6.71003    -6.69451  0.00731266
         376    -6.68925     -6.6945  0.00729323
         377    -6.70159    -6.69452   0.0072739
         378    -6.75974    -6.69469  0.00725671
         379    -6.75025    -6.69484  0.00723904
         380    -6.63513    -6.69468   0.0072217
         381    -6.62878    -6.69451  0.00720481
         382    -6.59697    -6.69425  0.00719047
         383    -6.54769    -6.69387  0.00718188
         384    -6.57106    -6.69355  0.00717029
         385     -6.5508    -6.69318  0.00716125
         386    -6.57056    -6.69286  0.00714974
         387    -6.56309    -6.69253  0.00713912
         388     -6.6386    -6.69239  0.00712207
         389    -6.70668    -6.69242  0.00710386
         390    -6.60668     -6.6922  0.00708905
         391    -6.61345      -6.692  0.00707378
         392    -6.64846    -6.69189   0.0070566
         393    -6.64143    -6.69176  0.00703982
         394    -6.65913    -6.69168  0.00702244
         395    -6.64493    -6.69156  0.00700565
         396    -6.74806    -6.69171  0.00698942
         397     -6.7519    -6.69186  0.00697346
         398    -6.68564    -6.69184  0.00695595
         399    -6.68146    -6.69182  0.00693857
         400    -6.60862    -6.69161  0.00692434
         401    -6.60268    -6.69139  0.00691062
         402    -6.56642    -6.69107  0.00690042
         403    -6.57919     -6.6908  0.00688888
         404    -6.63593    -6.69066  0.00687317
         405    -6.69135    -6.69066  0.00685619
         406    -6.68317    -6.69064  0.00683933
         407    -6.76998    -6.69084  0.00682531
         408    -6.80183    -6.69111    0.006814
         409    -6.76514    -6.69129  0.00679974
         410    -6.69682    -6.69131  0.00678317
         411    -6.61609    -6.69112  0.00676913
         412    -6.63333    -6.69098  0.00675416
         413    -6.71647    -6.69104  0.00673808
         414    -6.70306    -6.69107  0.00672187
         415    -6.71636    -6.69113  0.00670595
         416    -6.76589    -6.69131  0.00669224
         417    -6.79133    -6.69155  0.00668048
         418    -6.80518    -6.69183  0.00667003
         419    -6.75402    -6.69197  0.00665576
         420    -6.72394    -6.69205  0.00664035
         421    -6.81985    -6.69235  0.00663151
         422    -6.84141    -6.69271   0.0066252
         423    -6.75649    -6.69286  0.00661125
         424    -6.78568    -6.69308  0.00659928
         425    -6.73836    -6.69318  0.00658462
         426    -6.70673    -6.69321  0.00656924
