#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         421    0.902617    0.900843  3.7655e-05
         422    0.902631    0.900847 3.78035e-05
         423    0.902645    0.900851 3.79522e-05
         424    0.902658    0.900855 3.81013e-05
         425    0.902672     0.90086 3.82507e-05
         426    0.902686    0.900864 3.84003e-05
         427      0.9027    0.900868 3.85503e-05
         428    0.902713    0.900873 3.87005e-05
         429    0.902727    0.900877 3.88511e-05
         430    0.902741    0.900881 3.90019e-05
         431    0.902755    0.900886  3.9153e-05
         432    0.902769     0.90089 3.93044e-05
         433    0.902783    0.900894 3.94561e-05
         434    0.902797    0.900899 3.96082e-05
         435    0.902811    0.900903 3.97605e-05
         436    0.902826    0.900907 3.99131e-05
         437     0.90284    0.900912 4.00659e-05
         438    0.902854    0.900916 4.02191e-05
         439    0.902869    0.900921 4.03726e-05
         440    0.902883    0.900925 4.05264e-05
         441    0.902897     0.90093 4.06805e-05
         442    0.902912    0.900934 4.08349e-05
         443    0.902926    0.900939 4.09896e-05
         444    0.902941    0.900943 4.11446e-05
         445    0.902955    0.900948 4.12998e-05
         446     0.90297    0.900952 4.14554e-05
         447    0.902985    0.900957 4.16113e-05
         448       0.903    0.900961 4.17675e-05
         449    0.903014    0.900966  4.1924e-05
         450    0.903029     0.90097 4.20808e-05
         451    0.903044    0.900975 4.22379e-05
         452    0.903059     0.90098 4.23953e-05
         453    0.903074    0.900984 4.25531e-05
         454    0.903089    0.900989 4.27111e-05
         455    0.903104    0.900994 4.28694e-05
         456    0.903119    0.900998 4.30281e-05
         457    0.903134    0.901003  4.3187e-05
         458    0.903149    0.901008 4.33462e-05
         459    0.903165    0.901012 4.35058e-05
         460     0.90318    0.901017 4.36657e-05
         461    0.903195    0.901022 4.38259e-05
         462    0.903211    0.901026 4.39863e-05
         463    0.903226    0.901031 4.41471e-05
         464    0.903242    0.901036 4.43083e-05
         465    0.903257    0.901041 4.44697e-05
         466    0.903273    0.901046 4.46314e-05
         467    0.903288     0.90105 4.47935e-05
         468    0.903304    0.901055 4.49558e-05
         469     0.90332     0.90106 4.51185e-05
         470    0.903335    0.901065 4.52815e-05
         471    0.903351     0.90107 4.54448e-05
         472    0.903367    0.901075 4.56084e-05
         473    0.903383    0.901079 4.57724e-05
         474    0.903399    0.901084 4.59366e-05
         475    0.903415    0.901089 4.61012e-05
         476    0.903431    0.901094 4.62661e-05
         477    0.903447    0.901099 4.64313e-05
         478    0.903463    0.901104 4.65968e-05
         479    0.903479    0.901109 4.67626e-05
         480    0.903496    0.901114 4.69288e-05
         481    0.903512    0.901119 4.70953e-05
         482    0.903528    0.901124 4.72621e-05
         483    0.903545    0.901129 4.74292e-05
         484    0.903561    0.901134 4.75966e-05
         485    0.903578    0.901139 4.77644e-05
         486    0.903594    0.901144 4.79325e-05
         487    0.903611    0.901149 4.81009e-05
         488    0.903627    0.901154 4.82696e-05
         489    0.903644    0.901159 4.84387e-05
         490    0.903661    0.901164 4.86081e-05
         491    0.903677     0.90117 4.87778e-05
         492    0.903694    0.901175 4.89478e-05
         493    0.903711     0.90118 4.91182e-05
         494    0.903728    0.901185 4.92889e-05
         495    0.903745     0.90119 4.94599e-05
         496    0.903762    0.901195 4.96312e-05
         497    0.903779    0.901201 4.98029e-05
         498    0.903796    0.901206 4.99749e-05
         499    0.903814    0.901211 5.01473e-05
         500    0.903831    0.901216   5.032e-05
         501    0.903848    0.901221  5.0493e-05
         502    0.903865    0.901227 5.06663e-05
         503    0.903883    0.901232   5.084e-05
         504      0.9039    0.901237 5.10141e-05
         505    0.903918    0.901243 5.11884e-05
         506    0.903935    0.901248 5.13631e-05
         507    0.903953    0.901253 5.15382e-05
         508    0.903971    0.901259 5.17135e-05
